id,title,content
1,Python Basics,"Learn Python from scratch with this beginner's guide."
2,Advanced Python,"Deep dive into Python's advanced features and best practices."
3,Data Science,"Understand data science concepts with Python and R."
4,Machine Learning,"An introduction to machine learning algorithms and applications."
5,Web Development,"Learn how to build websites with HTML, CSS, and JavaScript."
6,Cloud Computing,"Explore cloud technologies and their use cases."
7,AI Fundamentals,"Basics of artificial intelligence and neural networks."
8,Big Data,"Analyze large datasets using Hadoop and Spark."
9,API Design,"Learn how to design and consume APIs effectively."
10,DevOps Practices,"Understand DevOps principles and CI/CD workflows."
